"Source:","C:\GitHub\RamanSpectrometer_Hardware\CCD Breakout\Hardware\CCD_Breakout.kicad_sch"
"Date:","10/21/2023 1:39:18 PM"
"Tool:","Eeschema 7.0.8"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","8"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","1","C1","10µF","Device:C","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~",""
"2","1","C2","0.01µF","Device:C","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~",""
"3","1","C3","22µF","Device:C","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~",""
"4","1","Conn1","Molex_SL_05","MRDT_Connectors:Molex_SL_05","MRDT_Connectors:MOLEX_SL_05_Vertical","",""
"5","1","J1","Conn_01x03_Pin","Connector:Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~",""
"6","1","U1","ILX511","MRDT_CCD:ILX511","MRDT_CCD:ILX511","https://www.spectralproducts.com/pdf/SonyILX511.pdf",""
"7","2","V1, V2","Via","MRDT_Drill_Holes:Via","MRDT_Drill_Holes:4_40_Hole","",""
