"Source:","C:\GitHub\RamanSpectrometer_Hardware\Laser Diode Breakout\Hardware\Laser_Diode_Breakout.kicad_sch"
"Date:","10/21/2023 1:38:44 PM"
"Tool:","Eeschema 7.0.8"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","13"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","1","Conn1","Molex_SL_04","MRDT_Connectors:Molex_SL_04","MRDT_Connectors:MOLEX_SL_04_Vertical","",""
"2","1","D1","782nm Laser Diode","Device:LED","Package_TO_SOT_THT:TO-18-3","~",""
"3","1","D2","520nm Laser Diode","Device:LED","RamanDiodes:PLT5520B - 520nm","~",""
"4","2","Q1, Q2","BSS138","Transistor_FET:BSS138","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF",""
"5","1","R1","33","Device:R","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~",""
"6","1","R2","78.7","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~",""
"7","2","R3, R4","4.7k","Device:R","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","~",""
"8","4","V1, V2, V3, V4","Via","MRDT_Drill_Holes:Via","MRDT_Drill_Holes:4_40_Hole","",""
